stateProvince,county,centroidLon,centroidLat
Kentucky,Nelson,-85.46616805060,37.80508749020
Kentucky,Nicholas,-84.01529248290,38.33564445480
Kentucky,Ohio,-86.84897815800,37.47826966830
Kentucky,Oldham,-85.44847924500,38.39950156600
Kentucky,Owen,-84.82804713630,38.51967356350
Kentucky,Owsley,-83.68315124380,37.41925116110
Kentucky,Pendleton,-84.36017164730,38.69566209610
Kentucky,Perry,-83.22152575780,37.24432602590
Kentucky,Pike,-82.39577878480,37.46904566530
Kentucky,Powell,-83.82385266460,37.83118529730
Kentucky,Pulaski,-84.57714632420,37.10388078270
Kentucky,Robertson,-84.05208396130,38.51884164830
Kentucky,Rockcastle,-84.31597388700,37.36518304020
Kentucky,Rowan,-83.42111424650,38.19626296220
Kentucky,Russell,-85.05863381900,36.99109125150
Kentucky,Scott,-84.58393355990,38.29149065530
Kentucky,Shelby,-85.19476853360,38.21545387970
Kentucky,Simpson,-86.58225075210,36.74194082240
Kentucky,Spencer,-85.32787374520,38.03252501460
Kentucky,Taylor,-85.32788143130,37.36643057860
Kentucky,Todd,-87.17907800160,36.83559261720
Kentucky,Trigg,-87.87337210140,36.80639650620
Kentucky,Trimble,-85.33737524510,38.61297658520
Kentucky,Union,-87.94529298720,37.65838928530
Kentucky,Warren,-86.42385165460,36.99355601450
Kentucky,Washington,-85.17471063910,37.75343443320
Kentucky,Wayne,-84.82852021880,36.80130154610
Kentucky,Webster,-87.68316494550,37.51833854370
Kentucky,Whitley,-84.14518248120,36.75816643550
Kentucky,Wolfe,-83.49314956750,37.73925724670
Kentucky,Woodford,-84.74347267410,38.04231592510
Kentucky,Lee,-83.71627206470,37.59474241840
Kentucky,Fulton,-89.18734896580,36.55405264590
Kentucky,Adair,-85.28055178330,37.10414662060
Kentucky,Allen,-86.19037367420,36.75125107880
Kentucky,Anderson,-84.99089585930,38.00397452950
Kentucky,Ballard,-88.99924850760,37.05844292640
Kentucky,Barren,-85.93357895440,36.96556854020
Kentucky,Bath,-83.74276104200,38.14492357900
Kentucky,Bell,-83.67400350670,36.73066917090
Kentucky,Boone,-84.72792293710,38.96996885740
Kentucky,Bourbon,-84.21713852380,38.20680637320
Kentucky,Boyd,-82.68773636830,38.35960682390
Kentucky,Boyle,-84.86665620420,37.62436126700
Kentucky,Bracken,-84.09014389790,38.68878578100
Kentucky,Breathitt,-83.32407207230,37.52161424890
Kentucky,Breckinridge,-86.42934118250,37.77322953640
Kentucky,Bullitt,-85.69593152390,37.97002735440
Kentucky,Butler,-86.68156912870,37.20740459080
Kentucky,Caldwell,-87.86787483080,37.14525214360
Kentucky,Calloway,-88.27227147920,36.62105107590
Kentucky,Campbell,-84.37934227250,38.94647208440
Kentucky,Carlisle,-88.97090939550,36.85318589790
Kentucky,Carroll,-85.12347788830,38.66789257770
Kentucky,Carter,-83.04948813520,38.31813304750
Kentucky,Casey,-84.92833760360,37.32234512630
Kentucky,Christian,-87.49036841810,36.89409141610
Kentucky,Clark,-84.14750640970,37.97091056620
Kentucky,Clay,-83.71460389390,37.15977230570
Kentucky,Hopkins,-87.54094950920,37.30878387640
Kentucky,Crittenden,-88.09724343210,37.35269611420
Kentucky,Cumberland,-85.38843290540,36.78655979600
Kentucky,Daviess,-87.08727485410,37.73181187120
Kentucky,Edmonson,-86.23848483210,37.20873536220
Kentucky,Elliott,-83.09761914430,38.11787343650
Kentucky,Estill,-83.96434054600,37.69243462100
Kentucky,Fayette,-84.45877072700,38.04231548320
Kentucky,Fleming,-83.69668412090,38.37008442100
Kentucky,Floyd,-82.74566039040,37.55717502180
Kentucky,Franklin,-84.87702655200,38.23909799620
Kentucky,Gallatin,-84.85919331620,38.75688536020
Kentucky,Garrard,-84.53764593660,37.63957101100
Kentucky,Grant,-84.62451501060,38.64878547650
Kentucky,Graves,-88.65116353340,36.72303451290
Kentucky,Grayson,-86.34393367610,37.46076954470
Kentucky,Green,-85.55312284810,37.26391028870
Kentucky,Greenup,-82.92233252750,38.54564558800
Kentucky,Hancock,-86.77796660340,37.84149065570
Kentucky,Hardin,-85.96352520260,37.69787988040
Kentucky,Harlan,-83.21788767280,36.85700485000
Kentucky,Harrison,-84.33146520270,38.44184177050
Kentucky,Hickman,-88.97614891230,36.67811833870
Kentucky,Henry,-85.11887805970,38.44844212630
Kentucky,Henderson,-87.57290486350,37.79607642050
Kentucky,Hart,-85.88471491180,37.29992051490
Kentucky,Laurel,-84.11775683730,37.11069646230
Kentucky,Clinton,-85.13609026790,36.72747752360
Michigan,Roscommon,-84.61163774440,44.33559890640
Michigan,Saginaw,-84.05316987740,43.33496369010
Michigan,St. Joseph,-85.52776198490,41.91447135960
Michigan,Shiawassee,-84.14672448960,42.95371887850
Michigan,Washtenaw,-83.83845438060,42.25336028680
Mississippi,Amite,-90.80447122150,31.17442047200
Mississippi,Attala,-89.58168014980,33.08629709760
Mississippi,Benton,-89.18849260270,34.81726996050
Mississippi,Adams,-91.35311791670,31.48316789970
Mississippi,Yalobusha,-89.70760657110,34.02821515010
Mississippi,Winston,-89.03442399580,33.08848577750
Mississippi,Wilkinson,-91.31089902390,31.16102866540
Mississippi,Webster,-89.28478644640,33.61305659930
Mississippi,Wayne,-88.69578593180,31.64079619330
Mississippi,Washington,-90.94744819310,33.28363799650
Mississippi,Warren,-90.85213676550,32.35735098120
Mississippi,Walthall,-90.10613530820,31.14846556180
Mississippi,Union,-89.00380336700,34.49047322980
Mississippi,Tunica,-90.37547313620,34.65195626370
Mississippi,Tishomingo,-88.23931277950,34.74044001800
Mississippi,Tippah,-88.90890084990,34.76841874990
Mississippi,Tate,-89.94478083370,34.65032365680
Mississippi,Tallahatchie,-90.17324370390,33.95045326280
Mississippi,Sunflower,-90.58865506450,33.60225214650
Mississippi,Stone,-89.11767733040,30.79000141360
Mississippi,Smith,-89.50666262130,32.01768958370
Mississippi,Simpson,-89.91954310210,31.91316794170
Mississippi,Sharkey,-90.81324891720,32.87966174510
Mississippi,Scott,-89.53764264590,32.40636745570
Mississippi,Rankin,-89.94573112770,32.26414475440
Mississippi,Quitman,-90.28911949930,34.25139697170
Mississippi,Prentiss,-88.52011000890,34.61827586360
Mississippi,Pontotoc,-89.03741156560,34.22544022600
Mississippi,Perry,-88.99232955020,31.17205013490
Mississippi,Panola,-89.95054920110,34.36394148840
Mississippi,Oktibbeha,-88.87927317620,33.42495793860
Mississippi,Noxubee,-88.56977213610,33.11012052300
Mississippi,Newton,-89.11881288280,32.40023360550
Mississippi,Neshoba,-89.11758107660,32.75351678400
Mississippi,Montgomery,-89.61638759710,33.49410906900
Mississippi,Monroe,-88.48044832200,33.89225479220
Mississippi,Marshall,-89.50309614380,34.76228911150
Mississippi,Marion,-89.82244525410,31.23081875370
Iowa,Clinton,-90.53198565500,41.89802095530
Iowa,Crawford,-95.38214211540,42.03721708640
Iowa,Dallas,-94.03975465100,41.68487830470
Iowa,Davis,-92.40974181840,40.74768706120
Iowa,Decatur,-93.78628102220,40.73767637900
Iowa,Wright,-93.73523761170,42.73308237220
Iowa,Winneshiek,-91.84365127320,43.29061228840
Iowa,Woodbury,-96.04486185220,42.38974689050
Iowa,Worth,-93.26088460990,43.37738582290
Iowa,Jones,-91.13135284990,42.12121562450
Iowa,Webster,-94.18180405820,42.42783913350
Iowa,Winnebago,-93.73419743550,43.37747066180
Illinois,Jackson,-89.38210649350,37.78518528150
Illinois,Jefferson,-88.92403915150,38.30055162370
Illinois,Jersey,-90.35659793160,39.08563358740
Illinois,Jo Daviess,-90.21233972830,42.36568290090
Illinois,Johnson,-88.88089610710,37.45962977410
Illinois,Kane,-88.42870827690,41.93904149520
Illinois,Kankakee,-87.86178347310,41.13769878910
Illinois,Kendall,-88.42887033650,41.59061365410
Illinois,Iroquois,-87.82432170340,40.74737579140
